Country,Nationality,Groups
China,Chinese,East-Asian
Canada,Canadian,English Speaking
Denmark,Danish,Nordic
Brazil,Brazilian,Latin-American
Egypt,Egyptian,African-Islamic
Albania,Albanian,Eastern-European
Cambodia,Cambodian,Southeast-Asian
Algeria,Algerian,African-Islamic
Bangladesh,Bangladeshi,South-Asian
Bhutan,Bhutanese,South-Asian
Argentina,Argentinian,Latin-American
Estonia,Estonian,Baltic
Bosnia and Herzegovina,Bosnian,Eastern-European
Ecuador,Ecuadorian,Latin-American
Angola,Angolan,African-Islamic
Bulgaria,Bulgarian,Eastern-European
El Salvador,Salvadoran,Latin-American
Cameroon,Cameroonian,African-Islamic
Djibouti,Djiboutian,African-Islamic
Belize,Belizean,Latin-American
Andorra,Andorran,Western-European
